sweep_id,radar_site,altitude_padding_m,horizontal_corridor_padding_km,reflectivity_max_dbz,max_gates_per_cluster,n_clusters,n_tracklets,n_consistent_tracklets,mean_tracklet_score,mean_balloon_like_score
SWEEP_013,KIWA,500,20,10.0,5,600,10,10,1.2338,0.7727
SWEEP_014,KIWA,500,20,10.0,10,745,10,10,1.2326,0.7374
SWEEP_015,KIWA,500,20,10.0,25,861,10,10,1.2393,0.7571
SWEEP_016,KIWA,500,20,20.0,5,571,10,10,1.2381,0.7857
SWEEP_017,KIWA,500,20,20.0,10,715,10,10,1.2431,0.7883
SWEEP_018,KIWA,500,20,20.0,25,840,10,10,1.2485,0.787
SWEEP_019,KIWA,500,40,5.0,5,1065,10,10,1.2381,0.7744
SWEEP_020,KIWA,500,40,5.0,10,1330,10,10,1.2433,0.7641
SWEEP_021,KIWA,500,40,5.0,25,1529,10,10,1.2455,0.7621
SWEEP_022,KIWA,500,40,10.0,5,963,10,10,1.2356,0.781
SWEEP_023,KIWA,500,40,10.0,10,1194,10,10,1.2354,0.765
SWEEP_024,KIWA,500,40,10.0,25,1384,10,10,1.2416,0.7632
SWEEP_025,KIWA,500,40,20.0,5,933,10,10,1.2381,0.7857
SWEEP_026,KIWA,500,40,20.0,10,1164,10,10,1.2431,0.7883
SWEEP_027,KIWA,500,40,20.0,25,1361,10,10,1.2485,0.787
SWEEP_028,KIWA,500,60,5.0,5,1562,10,10,1.2381,0.7744
SWEEP_029,KIWA,500,60,5.0,10,1902,10,10,1.2433,0.7641
SWEEP_030,KIWA,500,60,5.0,25,2167,10,10,1.2455,0.7621
SWEEP_031,KIWA,500,60,10.0,5,1410,10,10,1.2356,0.781
SWEEP_032,KIWA,500,60,10.0,10,1724,10,10,1.2354,0.765
SWEEP_033,KIWA,500,60,10.0,25,1988,10,10,1.2416,0.7632
SWEEP_034,KIWA,500,60,20.0,5,1377,10,10,1.2381,0.7857
SWEEP_035,KIWA,500,60,20.0,10,1687,10,10,1.2431,0.7883
SWEEP_036,KIWA,500,60,20.0,25,1956,10,10,1.2485,0.787
SWEEP_037,KIWA,1000,10,5.0,5,406,10,10,1.1949,0.7708
SWEEP_038,KIWA,1000,10,5.0,10,521,10,10,1.1992,0.7481
SWEEP_039,KIWA,1000,10,5.0,25,639,10,10,1.2014,0.7432
SWEEP_040,KIWA,1000,10,10.0,5,359,10,10,1.1938,0.7788
SWEEP_041,KIWA,1000,10,10.0,10,464,10,10,1.1966,0.7727
SWEEP_042,KIWA,1000,10,10.0,25,550,10,10,1.1942,0.7699
SWEEP_043,KIWA,1000,10,20.0,5,353,10,10,1.2016,0.7809
SWEEP_044,KIWA,1000,10,20.0,10,459,10,10,1.1986,0.7696
SWEEP_045,KIWA,1000,10,20.0,25,545,10,10,1.1988,0.7706
SWEEP_046,KIWA,1000,20,5.0,5,1090,10,10,1.2303,0.7712
SWEEP_047,KIWA,1000,20,5.0,10,1303,10,10,1.232,0.7707
