case_id,radar_site,scan_time_utc,scan_filename,search_window,cluster_id,n_gates,cluster_center_lat_deg,cluster_center_lon_deg,cluster_center_alt_m,cluster_min_distance_to_expected_km,cluster_min_vertical_distance_m,cluster_max_reflectivity_dbz,cluster_mean_reflectivity_dbz,cluster_p95_reflectivity_dbz,cluster_velocity_mean_ms,cluster_spectrum_width_mean_ms,cluster_rhohv_mean,compactness_km,notes
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_010,2,32.26364337221331,-110.50017237637323,4002.5,9.29909919151269,2882.0370370370374,-7.0,-7.25,-7.025,,,,0.12511732570044498,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_011,2,32.303812638627576,-110.46749477600045,5084.0,8.769101133233988,1799.0370370370374,-3.5,-4.25,-3.575,,0.0,1.0516666173934937,0.12506797407595696,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_012,7,32.35353103675549,-110.49485550339011,6811.428571428572,5.6885647272834925,297.0370370370374,-3.0,-5.857142857142857,-3.7500000000000018,,,,1.9575633341032987,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_013,4,32.308202518199494,-110.48907446078366,6577.75,6.3319787976602795,222.9629629629626,-5.0,-5.875,-5.0,,,,0.7737508652288617,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_014,2,32.29429967838287,-110.59261317103902,6768.0,5.748156688079089,109.0370370370374,-6.5,-7.25,-6.575,,,,0.1251065494260795,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,tight,20260322_202135_tight_001,2,32.354261339712735,-110.52869472005499,5383.0,3.045056729324583,1500.0370370370374,-1.0,-3.25,-1.225,,0.0,1.0516666173934937,0.12505822280903076,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,loose,20260322_202840_loose_001,27315,32.319059409027915,-110.54951826313662,2831.4339373970347,0.1939934086041542,61.03703703703741,32.0,-2.2360424675086947,4.5,4.46510964375968,2.8122105776261273,0.7849860954975145,22.96033485111085,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_001,7,32.369696772384124,-110.61206832096168,5089.285714285715,9.365782754993829,1861.9629629629624,-3.5,-4.785714285714286,-3.8000000000000007,,4.0,1.0516666173934937,1.9441605887705393,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_002,2,32.36309548083244,-110.55663502021237,4573.5,4.794189630270186,2861.9629629629626,-2.0,-3.75,-2.1750000000000003,,,,0.1251056148610387,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,normal,20260322_202840_normal_003,2,32.4098988023745,-110.51641757912188,4915.0,8.554142557566141,2519.9629629629626,-1.0,-2.5,-1.1500000000000001,,,,0.12512097427734484,DBSCAN cluster
