case_id,radar_site,scan_time_utc,scan_filename,search_window,cluster_id,expected_lat_deg,expected_lon_deg,expected_alt_m,candidate_lat_deg,candidate_lon_deg,candidate_alt_m,horizontal_distance_km,vertical_distance_m,n_gates,max_reflectivity_dbz,mean_reflectivity_dbz,p95_reflectivity_dbz,velocity_mean_ms,spectrum_width_mean_ms,rhohv_mean,distance_score,altitude_score,reflectivity_score,compactness_score,isolation_score,temporal_continuity_score,candidate_score,candidate_rank,candidate_label,notes
k7uaz_20260322,KEMX,2026-03-22T22:47:59Z,KEMX20260322_224759_V06,loose,20260322_224759_loose_002,32.23,-109.79,11780.0,32.24612797533138,-109.82240499304052,11624.0,3.5362607258547776,156.0,2,-1.5,-1.75,-1.525,,,,0.8231869637072611,0.9688,0.24285714285714285,0.9875015746404981,0.9873417721518988,1.0,0.197581021047989,195,no_candidate,DBSCAN cluster; outside telemetry window
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,normal,20260322_202135_normal_001,32.33507407407408,-110.55327777777778,6892.037037037037,32.3667212376621,-110.6100028791364,5308.933333333333,6.385665771469254,1583.103703703704,60,-0.5,-4.033333333333333,-1.0,1.263157894736842,2.0,1.0295454128222032,0.36143342285307456,0.47229876543209864,0.2714285714285714,0.0,0.25316455696202533,1.0,0.1959463499504111,196,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,loose,20260322_201442_loose_001,32.33813333333333,-110.5854,6356.666666666667,32.305451876721015,-110.61439307448958,2564.8183818886987,4.541837838545996,3791.8482847779683,55435,44.0,-1.0963651122936773,8.0,3.821580533640635,2.9935945909879456,0.758918459682709,0.7729081080727002,0.24163034304440634,1.0,0.0,0.0,1.0,0.19383840509121525,197,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:28:40Z,KEMX20260322_202840_V06,loose,20260322_202840_loose_001,32.33192592592593,-110.52022222222222,7442.962962962963,32.319059409027915,-110.54951826313662,2831.4339373970347,3.102322285818681,4611.529025565927,27315,32.0,-2.2360424675086947,4.5,4.46510964375968,2.8122105776261273,0.7849860954975145,0.844883885709066,0.0776941948868145,1.0,0.0,0.0,1.0,0.18840884004163855,198,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T19:53:25Z,KEMX20260322_195325_V06,tight,20260322_195325_tight_001,32.34759259259259,-110.68472222222222,4701.2962962962965,32.3454247164685,-110.6848645828664,2993.578212290503,0.24142784336072817,1707.7180840057936,1790,17.0,2.400279329608938,8.5,3.188161693936477,2.640595009596929,0.6686116684751695,0.9517144313278545,0.14614095799710322,0.7714285714285715,0.0,0.0,1.0,0.18617387929133697,199,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:21:35Z,KEMX20260322_202135_V06,loose,20260322_202135_loose_001,32.33507407407408,-110.55327777777778,6892.037037037037,32.301161777155095,-110.58853439389242,2561.2858408784437,5.019558974849943,4330.751196158593,51910,39.5,-1.6631284916201117,7.0,3.925310294475542,2.939952234732173,0.7657026373085122,0.7490220512575029,0.13384976076828134,1.0,0.0,0.0,1.0,0.18428733555940993,200,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T21:52:49Z,KEMX20260322_215249_V06,loose,20260322_215249_loose_002,32.27,-110.08665,11759.266666666666,32.1895867511752,-110.22171934568784,7453.142857142857,15.535913921677121,4306.1238095238095,56,1.0,-5.258928571428571,-1.375,0.2142857142857142,0.8275862068965517,0.7421999931335449,0.22320430391614393,0.1387752380952381,0.3142857142857143,0.24988461126654293,0.3037974683544304,1.0,0.1804153580328689,201,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T21:11:05Z,KEMX20260322_211105_V06,loose,20260322_211105_loose_001,32.31307407407407,-110.32227777777778,10742.037037037036,32.35406408836177,-110.13652965186084,8142.933333333333,18.03717493733264,2599.103703703703,60,4.0,-1.7666666666666666,2.0,-0.1304347826086956,0.875,0.812916656024754,0.098141253133368,0.48017925925925936,0.4,0.0,0.25316455696202533,1.0,0.17747389072655123,202,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:07:36Z,KEMX20260322_200736_V06,normal,20260322_200736_normal_001,32.34128888888889,-110.61853333333332,5804.444444444444,32.36088152365374,-110.62191239517492,3123.126774351444,2.201606342935996,2681.3176700930003,4086,17.0,-0.0419725893294175,5.5,4.203571428571428,2.6179453262786594,0.6794027005722709,0.7798393657064004,0.10622744330233323,0.7714285714285715,0.0,0.0,1.0,0.16894242775050095,203,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:00:31Z,KEMX20260322_200031_V06,tight,20260322_200031_tight_001,32.34443703703704,-110.65158888888888,5253.518518518518,32.34490437843061,-110.65277146820024,3489.497267759563,0.12264777811849238,1764.0212507589554,183,7.5,-1.4180327868852458,3.0,4.25776397515528,2.2740963855421685,0.6688534187298294,0.9754704443763016,0.11798937462052231,0.5,0.0,0.0,1.0,0.16719877355104587,204,no_candidate,DBSCAN cluster
k7uaz_20260322,KEMX,2026-03-22T20:14:42Z,KEMX20260322_201442_V06,normal,20260322_201442_normal_001,32.33813333333333,-110.5854,6356.666666666667,32.352610194132566,-110.61644228700628,4579.046511627907,3.3309705312811304,1777.6201550387595,258,9.0,-3.3217054263565893,1.0,3.7062937062937062,2.340909090909091,0.8744798844799082,0.666902946871887,0.4074599483204135,0.5428571428571428,0.0,0.0,1.0,0.16454204391966742,205,no_candidate,DBSCAN cluster
